trial number,0,1,2,3,4,5,6,7,8,9,Average
By Word time,245239400,107245400,107229100,89060300,89199500,84312300,91188100,85606400,82493600,100041900,108161600
By Multiple word time,637947900,295385000,355055500,312568600,369991100,307311800,305052600,318270200,308159900,319551100,108161600
