trial number,0,1,2,3,4,5,6,7,8,9,Average
By Word time,367814600,155132700,96928500,86339900,85794300,84615400,78645900,86648100,98767400,100188900,124087570
By Multiple word time,1146279700,711098700,562795500,663357100,609961100,549466000,529098000,577677400,748129300,548191700,124087570
