trial number,0,1,2,3,4,5,6,7,8,9,Average
By Word time,446506500,124745000,121247200,124129400,102624500,185465900,103590800,266992500,200309100,96060100,177167100
By Multiple word time,1545515600,1452842700,1464120300,1088925600,1741340800,1120043200,1084856200,1293678600,1099357300,966515300,177167100
