trial number,0,1,2,3,4,5,6,7,8,9,Average
By Word time,300447800,298439200,118978300,104431400,96485200,100789500,96293800,104269700,105145600,101459200,142673970
By Multiple word time,567629200,684456700,427927900,399021400,398817700,455018900,402970200,397762700,512369400,416836200,142673970
