trial number,0,1,2,3,4,5,6,7,8,9,Average
By Word time,359592900,155694800,266101100,109902700,83352300,74526400,77068400,84314500,77231500,70774500,135855910
By Multiple word time,274203300,237055400,310099800,216352700,149942300,147979000,149016900,157830600,173414400,146614500,135855910
