trial number,0,1,2,3,4,5,6,7,8,9,Average
By Word time,435265300,200683800,90575500,93331000,82602200,82077700,85407700,81843400,81794500,98436700,133201780
By Multiple word time,319831900,143284000,127294100,121417200,128898600,121816400,118808700,120517200,122531500,158558000,133201780
