trial number,0,1,2,3,4,5,6,7,8,9,Average
By Word time,149863400,32236400,19469500,15922800,12523800,12445800,12442200,13163100,14865200,17796400,30072860
By Multiple word time,270927700,80579200,67170600,47316100,43957500,44754900,38577400,40875100,78497800,109904400,30072860
