trial number,0,1,2,3,4,5,6,7,8,9,Average
By Word time,344958200,165863400,112475400,90123500,86908400,77167800,75287400,70031000,76765200,84887500,118446780
By Multiple word time,484031500,399237100,247868300,306601700,251525400,274303300,242367200,239504800,240820100,234650100,118446780
